Maker,Model,Min new price,Max new price,Age,km_driven,seller_type,owner_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
MARUTI,ALTO STD,,,9.0,120000.0,Individual,First Owner,Petrol,Manual,19.7,796.0,46.3,5.0,120000.0
HYUNDAI,GRAND I10,711000.0,748000.0,5.0,20000.0,Individual,First Owner,Petrol,Manual,18.9,1197.0,82.0,5.0,550000.0
HYUNDAI,I20 ASTA,,,11.0,60000.0,Individual,First Owner,Petrol,Manual,17.0,1197.0,80.0,5.0,215000.0
MARUTI,ALTO K10,,,9.0,37000.0,Individual,First Owner,Petrol,Manual,20.92,998.0,67.1,5.0,225999.99999999997
FORD,ECOSPORT 2015-2021,1014000.0,1379000.0,6.0,30000.0,Dealer,First Owner,Diesel,Manual,22.77,1498.0,98.59,5.0,570000.0
MARUTI,WAGON R,516000.0,694000.0,8.0,35000.0,Individual,First Owner,Petrol,Manual,18.9,998.0,67.1,5.0,350000.0
HYUNDAI,I10 SPORTZ,654000.0,663000.0,8.0,40000.0,Dealer,First Owner,Petrol,Manual,20.36,1197.0,78.9,5.0,315000.0
MARUTI,WAGON R,526000.0,701000.0,3.0,17512.0,Dealer,First Owner,Petrol,Manual,20.51,998.0,67.04,5.0,409999.99999999994
HYUNDAI,VENUE SX,770000.0,1302000.0,2.0,20000.0,Individual,First Owner,Petrol,Automatic,18.15,998.0,118.35,5.0,1050000.0
MAHINDRA,TUV 300,,,4.0,70000.0,Dealer,First Owner,Diesel,Manual,18.49,1493.0,100.0,7.0,575000.0
TATA,INDIGO LX,,,6.0,50000.0,Individual,First Owner,Diesel,Manual,19.09,1405.0,69.01,5.0,305000.0
RENAULT,CAPTUR PLATINE,,,2.0,18000.0,Individual,First Owner,Diesel,Manual,20.37,1461.0,108.49,5.0,1150000.0
MARUTI,SWIFT VXI,635000.0,927000.0,4.0,28321.0,Dealer,First Owner,Petrol,Manual,16.6,1197.0,85.0,5.0,511000.00000000006
NISSAN,MICRA XL,,,5.0,27000.0,Dealer,First Owner,Petrol,Automatic,19.34,1198.0,76.0,5.0,409999.99999999994
HYUNDAI,VERNA 1.6,1309000.0,1829000.0,8.0,65278.0,Dealer,First Owner,Diesel,Manual,22.32,1582.0,126.32,5.0,425000.0
RENAULT,DUSTER 110PS,,,5.0,50000.0,Individual,First Owner,Diesel,Manual,19.64,1461.0,108.45,5.0,750000.0
MINI,COOPER COOPER,,,4.0,6000.0,Dealer,First Owner,Petrol,Automatic,14.41,1998.0,189.08,5.0,3250000.0
MARUTI,CIAZ ZDI,,,5.0,76000.0,Dealer,First Owner,Diesel,Manual,28.09,1248.0,88.5,5.0,650000.0
MARUTI,SWIFT VDI,,,5.0,20000.0,Individual,First Owner,Diesel,Manual,25.2,1248.0,74.0,5.0,627000.0
MERCEDES-BENZ,C-CLASS C,5130000.0,6408000.0,7.0,65000.0,Dealer,First Owner,Diesel,Automatic,19.27,2143.0,170.0,5.0,1425000.0
MARUTI,SWIFT VDI,,,7.0,62200.0,Dealer,First Owner,Diesel,Manual,28.4,1248.0,74.0,5.0,425000.0
TOYOTA,INNOVA 2.5,,,8.0,110000.0,Individual,First Owner,Diesel,Manual,12.99,2494.0,100.6,8.0,605000.0
MARUTI,BALENO ZETA,681000.0,1054000.0,6.0,20000.0,Individual,First Owner,Petrol,Manual,21.4,1197.0,83.1,5.0,600000.0
MARUTI,SWIFT DZIRE,698000.0,1040000.0,5.0,40000.0,Individual,First Owner,Petrol,Manual,20.85,1197.0,83.14,5.0,575000.0
FIAT,GRANDE PUNTO,,,9.0,97000.0,Individual,First Owner,Diesel,Manual,17.8,1248.0,76.0,5.0,260000.0
VOLKSWAGEN,VENTO 1.6,1011999.9999999999,1607999.9999999998,8.0,47000.0,Dealer,First Owner,Petrol,Manual,16.09,1598.0,103.2,5.0,425000.0
MARUTI,ALTO K10,,,8.0,25000.0,Dealer,First Owner,Petrol,Manual,20.92,998.0,67.1,5.0,229999.99999999997
HYUNDAI,CRETA 1.6,1095000.0,1830000.0,2.0,15000.0,Individual,First Owner,Diesel,Manual,19.67,1582.0,126.2,5.0,1225000.0
MAHINDRA,XYLO H9,,,11.0,56823.0,Dealer,First Owner,Diesel,Manual,14.02,2179.0,118.3,8.0,375000.0
HONDA,CITY I,1236000.0,1657000.0,6.0,50000.0,Individual,First Owner,Petrol,Manual,17.4,1497.0,117.3,5.0,750000.0
MAHINDRA,BOLERO SLE,905000.0000000001,1069000.0,10.0,25000.0,Individual,First Owner,Diesel,Manual,13.6,2523.0,63.0,7.0,350000.0
MARUTI,SWIFT DZIRE,,,6.0,90000.0,Individual,First Owner,Diesel,Manual,26.59,1248.0,74.0,5.0,600000.0
MARUTI,SWIFT DZIRE,,,8.0,45000.0,Dealer,First Owner,Diesel,Manual,26.59,1248.0,74.0,5.0,390000.0
HONDA,CITY 2017-2020,1268000.0,1680000.0,14.0,77253.0,Dealer,First Owner,Petrol,Manual,17.7,1497.0,78.0,5.0,145000.0
HYUNDAI,I20 ACTIVE,,,3.0,25000.0,Individual,First Owner,Petrol,Manual,17.19,1197.0,81.86,5.0,700000.0
TOYOTA,FORTUNER 4X2,3747000.0,4330000.0,8.0,110000.0,Individual,First Owner,Diesel,Manual,13.0,2982.0,168.5,7.0,1150000.0
RENAULT,KWID CLIMBER,381000.0,629000.0,4.0,30000.0,Individual,First Owner,Petrol,Manual,23.01,999.0,67.0,5.0,340000.0
HONDA,AMAZE S,704000.0,990000.0,5.0,39993.0,Dealer,First Owner,Petrol,Manual,18.6,1199.0,88.76,5.0,465000.00000000006
HYUNDAI,SANTRO XING,,,12.0,80000.0,Individual,First Owner,Petrol,Manual,17.92,1086.0,62.1,5.0,125000.0
MAHINDRA,XUV500 W8,1659000.0,2336000.0,9.0,185000.0,Individual,First Owner,Diesel,Manual,15.1,2179.0,140.0,7.0,600000.0
MARUTI,SWIFT DZIRE,,,8.0,90000.0,Individual,First Owner,Diesel,Manual,23.4,1248.0,74.0,5.0,380000.0
MAHINDRA,XYLO E8,,,12.0,60000.0,Individual,First Owner,Diesel,Manual,14.0,2498.0,112.0,8.0,400000.0
CHEVROLET,SAIL 1.3,,,7.0,90000.0,Individual,First Owner,Diesel,Manual,22.1,1248.0,74.0,5.0,300000.0
HYUNDAI,XCENT 1.2,,,6.0,20000.0,Individual,First Owner,Petrol,Manual,19.1,1197.0,82.0,5.0,500000.0
HYUNDAI,I20 1.4,,,3.0,15000.0,Individual,First Owner,Diesel,Manual,22.54,1396.0,88.73,5.0,850000.0
HYUNDAI,I20 1.2,763000.0,1266000.0,3.0,40000.0,Individual,First Owner,Petrol,Manual,18.6,1197.0,81.83,5.0,598000.0
HONDA,CITY I,1268000.0,1680000.0,6.0,31180.0,Dealer,First Owner,Petrol,Automatic,18.0,1497.0,117.3,5.0,700000.0
MAHINDRA,TUV 300,,,3.0,40000.0,Individual,First Owner,Diesel,Automatic,18.49,1493.0,100.0,7.0,900000.0
MARUTI,800 STD,,,17.0,50000.0,Individual,First Owner,Petrol,Manual,16.1,796.0,37.0,4.0,75000.0
TATA,INDIGO LS,,,6.0,58000.0,Individual,First Owner,Diesel,Manual,19.09,1396.0,69.0,5.0,300000.0
MARUTI,SWIFT DZIRE,,,7.0,56000.0,Dealer,First Owner,Diesel,Manual,23.4,1248.0,74.0,5.0,409999.99999999994
FIAT,GRANDE PUNTO,,,10.0,93000.0,Individual,First Owner,Diesel,Manual,20.5,1248.0,91.7,5.0,300000.0
AMBASSADOR,AVIGO 1800,,,11.0,86000.0,Dealer,First Owner,Petrol,Manual,12.2,1817.0,75.0,5.0,225000.0
MARUTI,BALENO ZETA,668000.0,1042000.0,5.0,52427.0,Dealer,First Owner,Petrol,Automatic,21.4,1197.0,83.1,5.0,590000.0
MAHINDRA,BOLERO B6,893000.0,1047000.0000000001,1.0,40000.0,Individual,First Owner,Diesel,Manual,21.0,1498.0,74.96,7.0,850000.0
TATA,NANO CX,,,10.0,70000.0,Individual,First Owner,Petrol,Manual,26.0,624.0,35.0,4.0,108000.0
MAHINDRA,KUV100 NXT,688000.0,875000.0,3.0,17000.0,Individual,First Owner,Petrol,Manual,18.15,1198.0,82.0,5.0,550000.0
TOYOTA,ETIOS G,,,9.0,54325.0,Dealer,First Owner,Petrol,Manual,17.6,1496.0,88.73,5.0,325000.0
MARUTI,BALENO VXI,681000.0,1054000.0,5.0,22000.0,Dealer,First Owner,Petrol,Manual,15.4,1590.0,94.0,5.0,625000.0
MARUTI,SWIFT DZIRE,698000.0,1040000.0,5.0,54000.0,Individual,First Owner,Petrol,Manual,20.85,1197.0,83.14,5.0,600000.0
MARUTI,WAGON R,511000.00000000006,679000.0,2.0,10000.0,Individual,First Owner,Petrol,Manual,20.51,998.0,67.04,5.0,445000.0
MARUTI,IGNIS 1.2,577000.0,856000.0,2.0,20000.0,Individual,First Owner,Petrol,Manual,20.89,1197.0,81.8,5.0,530000.0
TOYOTA,COROLLA ALTIS,,,10.0,61000.0,Dealer,First Owner,Petrol,Manual,14.53,1798.0,138.1,5.0,385000.0
MARUTI,WAGON R,597000.0,604000.0,3.0,53237.0,Trustmark Dealer,First Owner,CNG,Manual,26.6,998.0,58.16,5.0,409999.99999999994
DATSUN,REDIGO GOLD,329000.0,550000.0,3.0,27263.0,Individual,First Owner,Petrol,Manual,22.5,999.0,68.0,5.0,350000.0
TATA,INDIGO ELX,,,7.0,90000.0,Individual,First Owner,Diesel,Manual,25.0,1396.0,69.01,5.0,265000.0
HYUNDAI,VERNA 1.6,1284000.0,1809000.0,7.0,110000.0,Individual,First Owner,Diesel,Manual,22.32,1582.0,126.3,5.0,520000.0
HYUNDAI,I20 ASTA,959000.0,1283000.0,5.0,70000.0,Individual,First Owner,Diesel,Manual,22.54,1396.0,88.73,5.0,750000.0
MARUTI,SWIFT DZIRE,,,4.0,70000.0,Individual,First Owner,Diesel,Manual,26.59,1248.0,74.0,5.0,560000.0
TATA,VISTA TDI,,,7.0,190000.0,Individual,First Owner,Diesel,Manual,19.1,1405.0,70.0,5.0,200000.0
HYUNDAI,XCENT 1.2,,,4.0,40000.0,Individual,First Owner,Diesel,Manual,25.4,1186.0,73.97,5.0,600000.0
HYUNDAI,I20 1.2,802999.9999999999,1341000.0,2.0,39000.0,Dealer,First Owner,Petrol,Manual,18.6,1197.0,81.83,5.0,655000.0
HYUNDAI,SANTRO XING,,,14.0,56000.0,Dealer,First Owner,Petrol,Manual,17.8,1086.0,63.0,5.0,125000.0
TOYOTA,COROLLA ALTIS,,,12.0,58000.0,Dealer,First Owner,Petrol,Automatic,14.53,1794.0,138.1,5.0,425000.0
MARUTI,OMNI E,,,4.0,40000.0,Individual,First Owner,Petrol,Manual,16.8,796.0,34.2,8.0,220000.00000000003
HYUNDAI,I20 1.2,783000.0,1312000.0,3.0,34000.0,Individual,First Owner,Petrol,Manual,18.6,1197.0,81.83,5.0,550000.0
MAHINDRA,SCORPIO 1.99,1510000.0,1992000.0000000002,4.0,50000.0,Individual,First Owner,Diesel,Manual,15.4,1997.0,120.0,7.0,1150000.0
VOLKSWAGEN,VENTO DIESEL,,,9.0,77400.0,Individual,First Owner,Diesel,Manual,20.54,1598.0,103.6,5.0,500000.0
MAHINDRA,MARAZZO M2,1389000.0,1643000.0,2.0,36000.0,Individual,First Owner,Diesel,Manual,17.3,1497.0,121.0,7.0,990000.0
HYUNDAI,VERNA SX,1274000.0,1817000.0000000002,8.0,47876.0,Dealer,First Owner,Diesel,Manual,25.0,1493.0,113.42,5.0,551000.0
MAHINDRA,XUV500 W11,1654000.0,2328000.0,3.0,21500.0,Individual,First Owner,Diesel,Automatic,15.1,2179.0,152.87,7.0,1650000.0
HYUNDAI,GRAND I10,,,6.0,75000.0,Dealer,First Owner,Diesel,Manual,24.0,1120.0,70.0,5.0,350000.0
FORD,ASPIRE 1.2,685000.0,869999.9999999999,4.0,58000.0,Dealer,First Owner,Petrol,Manual,18.16,1196.0,86.8,5.0,500000.0
MARUTI,SWIFT DZIRE,685000.0,1026000.0,3.0,30000.0,Individual,First Owner,Petrol,Manual,21.21,1197.0,81.8,5.0,575000.0
HYUNDAI,GRAND I10,,,3.0,50000.0,Individual,First Owner,Diesel,Manual,24.0,1186.0,73.97,5.0,545000.0
FORD,FIGO 1.2P,602000.0,791000.0,4.0,19093.0,Trustmark Dealer,First Owner,Petrol,Manual,18.16,1196.0,86.8,5.0,525000.0
HONDA,AMAZE E,702000.0,985000.0,7.0,50000.0,Individual,First Owner,Petrol,Manual,18.0,1198.0,86.7,5.0,400000.0
MARUTI,WAGON R,516000.0,694000.0,15.0,37000.0,Dealer,First Owner,Petrol,Manual,14.0,1061.0,64.0,5.0,155000.0
MAHINDRA,SUPRO VX,,,2.0,3888.0,Individual,First Owner,Diesel,Manual,23.5,909.0,45.0,8.0,540000.0
MARUTI,SWIFT DZIRE,,,5.0,47000.0,Dealer,First Owner,Diesel,Manual,26.59,1248.0,74.0,5.0,545000.0
HONDA,CITY V,1313000.0,1745000.0,8.0,70000.0,Individual,First Owner,Petrol,Manual,16.8,1497.0,116.3,5.0,545000.0
RENAULT,KWID RXL,362000.0,609000.0,5.0,25000.0,Individual,First Owner,Petrol,Manual,25.17,799.0,53.3,5.0,240000.0
MARUTI,VITARA BREZZA,,,3.0,26000.0,Dealer,First Owner,Diesel,Manual,24.3,1248.0,88.5,5.0,725000.0
FORD,ASPIRE 1.2,685000.0,844999.9999999999,4.0,30000.0,Individual,First Owner,Petrol,Manual,18.16,1196.0,86.8,5.0,480000.0
HYUNDAI,I20 MAGNA,783000.0,1312000.0,8.0,15000.0,Individual,First Owner,Petrol,Manual,18.5,1197.0,82.9,5.0,375000.0
MARUTI,SWIFT VDI,,,10.0,160000.0,Individual,First Owner,Diesel,Manual,17.8,1248.0,75.0,5.0,225000.0
TATA,TIAGO 1.2,563000.0,789000.0,4.0,32100.0,Individual,First Owner,Petrol,Manual,23.84,1199.0,84.0,5.0,400000.0
HYUNDAI,I20 MAGNA,802999.9999999999,1341000.0,5.0,22000.0,Dealer,First Owner,Petrol,Manual,18.5,1197.0,82.9,5.0,550000.0
MAHINDRA,SCORPIO S10,,,5.0,44000.0,Dealer,First Owner,Diesel,Manual,15.4,2179.0,120.0,7.0,1050000.0
VOLKSWAGEN,POLO 1.2,694000.0,1119000.0,5.0,78000.0,Dealer,First Owner,Petrol,Manual,18.78,1198.0,74.0,5.0,450000.0
MERCEDES-BENZ,C-CLASS C,4762000.0,16000000.0,9.0,74352.0,Dealer,First Owner,Petrol,Automatic,11.74,1796.0,186.0,5.0,775000.0
MARUTI,WAGON R,516000.0,694000.0,7.0,37000.0,Individual,First Owner,Petrol,Manual,20.51,998.0,67.04,5.0,350000.0
HONDA,CITY I,1479000.0,1755000.0,7.0,69000.0,Dealer,First Owner,Diesel,Manual,25.1,1498.0,98.6,5.0,550000.0
KIA,SELTOS HTK,1119000.0,1920000.0,2.0,12120.0,Individual,First Owner,Petrol,Manual,16.8,1497.0,113.4,5.0,1080000.0
MARUTI,BALENO DELTA,,,5.0,52000.0,Dealer,First Owner,Petrol,Manual,21.01,1197.0,81.8,5.0,575000.0
TOYOTA,INNOVA 2.5,,,5.0,120000.0,Individual,First Owner,Diesel,Manual,12.99,2494.0,100.6,8.0,950000.0
MARUTI,ALTO 800,347000.0,466000.0,8.0,55000.0,Individual,First Owner,Petrol,Manual,22.74,796.0,47.3,5.0,229999.99999999997
HYUNDAI,I20 1.4,860000.0,1128000.0,10.0,160000.0,Individual,First Owner,Diesel,Manual,21.9,1396.0,90.0,5.0,270000.0
CHEVROLET,BEAT DIESEL,,,9.0,42000.0,Dealer,First Owner,Diesel,Manual,25.44,936.0,56.3,5.0,165000.0
FORD,FIGO PETROL,613000.0,791000.0,10.0,40000.0,Individual,First Owner,Petrol,Manual,15.6,1196.0,70.0,5.0,130000.0
